"CUENTA","NOMBRE","DESCRIPCION","TIPO DE CTA","NATURALEZA","CONTROLADO","NIVEL DE RESUMEN","CUENTAS DEFAULT","CTA CONTROL","NIVEL DE CTA","OPERACIONES","VALOR DE LA CTA","TITULO NODO"
"A","ACTIVOS",,"Activo","Debito","N","Y",,,"E",,,
"A.C","ACTIVO CIRCULANTE",,"Activo","Debito","N","Y",,"A","E",,,
101,"CAJA",,"Activo","Debito","N","Y",,"A.C","C",,,
101001,"Caja",,"Activo","Debito","Y","N","CB_ASSET_ACCT",101,"S",,,
102,"BANCOS",,"Activo","Debito","N","Y",,"A.C","C",,,
102001,"Bancos",,"Activo","Debito","Y","N","B_ASSET_ACCT",102,"S",,,
103,"CLIENTES",,"Activo","Debito","N","Y",,"A.C","C",,,
103001,"Clientes",,"Activo","Debito","Y","N","C_RECEIVABLE_ACCT",103,"S",,,
104,"DEUDORES DIVERSOS",,"Activo","Debito","N","Y",,"A.C","C",,,
104001,"Deudores Diversos",,"Activo","Debito","N","N",,104,"S",,,
105,"FUNCIONARIOS Y EMPLEADOS",,"Activo","Debito","N","Y",,"A.C","C",,,
105001,"Funcionarios y Empleados",,"Activo","Debito","N","N",,105,"S",,,
106,"ALMACEN",,"Activo","Debito","N","Y",,"A.C","C",,,
106001,"Almacen",,"Activo","Debito","Y","N","W_INVENTORY_ACCT",106,"S",,,
107,"IMPUESTOS RETENIDOS",,"Activo","Debito","N","Y",,"A.C","C",,,
107001,"Impuestos retenidos",,"Activo","Debito","Y","N","T_CREDIT_ACCT",107,"S",,,
108,"TRANSFERENCIAS CAJA",,"Activo","Debito","N","Y",,"A.C","C",,,
108001,"Transferencias Caja",,"Activo","Debito","Y","N","CB_CASHTRANSFER_ACCT",108,"S",,,
109,"COBROS ANTICIPADOS",,"Lpasivo","Credito","N","Y",,"A.C","C",,,
109001,"Cobros Anticipados",,"Lpasivo","Credito","Y","N","C_PREPAYMENT_ACCT",109,"S",,,
110,"CUENTAS INCOBRABLES",,"EGastos","Debito","N","Y",,"A.C","C",,,
110001,"Cuentas Incobrables",,"EGastos","Debito","Y","N","WRITEOFF_ACCT",110,"S",,,
"A.F","ACTIVO FIJO",,"Activo","Debito","N","Y",,"A","E",,,
120,"ACTIVOS FIJOS",,"Activo","Debito","N","Y",,"A.F","C",,,
120001,"Activos Fijos",,"Activo","Debito","Y","N","P_ASSET_ACCT",120,"S",,,
130,"DEPRECIACION ACUMULADA",,"Activo","Debito","N","Y",,"A.F","C",,,
130001,"Depreciacion Acumulada",,"Activo","Debito","Y","N","A_ACCUMDEPRECIATION_ACCT",130,"S",,,
"A.D","ACTIVOS DIFERIDOS",,"Activo","Debito","N","Y",,"A","E",,,
"A.TOTAL","SUMA DE ACTIVOS (A.C + A.F+A.D)",,"Activo","Debito","N","Y",,"A","E","A.C+A.F+A.D",,
"P","PASIVOS",,"Lpasivo","Credito","N","Y",,,"E",,,
"P.CP","PASIVOS A CORTO PLAZO",,"Lpasivo","Credito","N","Y",,"P","E",,,
201,"PROVEEDORES",,"Lpasivo","Credito","N","Y",,"P.CP","C",,,
201001,"Proveedores",,"Lpasivo","Credito","Y","N","V_LIABILITY_ACCT",201,"S",,,
202,"FACTURAS POR PAGAR",,"Lpasivo","Credito","N","Y",,"P.CP","C",,,
202001,"Facturas por Pagar",,"Lpasivo","Credito","Y","N","NOTINVOICEDRECEIPTS_ACCT",202,"S",,,
203,"IMPUESTOS POR PAGAR",,"Lpasivo","Credito","N","Y",,"P.CP","C",,,
203001,"Impuestos por Pagar",,"Lpasivo","Credito","Y","N","T_DUE_ACCT",203,"S",,,
203002,"IVA por Pagar",,"Lpasivo","Credito","N","N",,203,"S",,,
204,"PAGOS POR APLICAR",,"Lpasivo","Credito","N","Y",,"P.CP","C",,,
204001,"Pagos por Aplicar",,"Lpasivo","Credito","Y","N","B_INTRANSIT_ACCT",204,"S",,,
205,"PAGOS ANTICIPADOS",,"Lpasivo","Credito","N","Y",,"P.CP","C",,,
205001,"Pagos Anticipados",,"Lpasivo","Credito","Y","N","V_PREPAYMENT_ACCT",205,"S",,,
206,"ACREEDORES DIVERSOS",,"Lpasivo","Credito","N","Y",,"P.CP","C",,,
206001,"Acreedores Diversos",,"Lpasivo","Credito","N","N",,206,"S",,,
207,"DOC. POR PAGAR A CORTO PLAZO",,"Lpasivo","Credito","N","Y",,"P.CP","C",,,
207001,"Doc. Por Pagar a Corto Plazo",,"Lpasivo","Credito","N","N",,207,"S",,,
"P.LP","PASIVOS A LARGO PLAZO",,"Lpasivo","Credito","N","Y",,"P","E",,,
221,"DOC. POR PAGAR A LARGO PLAZO",,"Lpasivo","Credito","N","Y",,"P.CP","C",,,
221001,"Doc. Por Pagar a Largo Plazo",,"Lpasivo","Credito","N","N",,221,"S",,,
"P.TOTAL","SUMA DE PASIVOS(P.CP+P.LP)",,"Lpasivo","Credito","N","Y",,"P","E","P.CP+P.LP",,
"C.C","CAPITAL CONTABLE",,"Lpasivo","Credito","N","Y",,"P","E",,,
301,"CAPITAL",,"Lpasivo","Credito","N","Y",,"C.C","C",,,
301001,"Capital",,"Lpasivo","Credito","N","N",,301,"S",,,
302,"RESULTADO DEL EJERCICIO",,"Lpasivo","Credito","N","Y",,"C.C","C",,,
302001,"Resultado del Ejercicio",,"Lpasivo","Credito","Y","N","INCOMESUMMARY_ACCT",302,"S",,,
303,"RESULTADO DE EJERCICIOS ANTERIORES",,"Lpasivo","Credito","N","Y",,"C.C","C",,,
303001,"Resultado de Ejercicios Anteriores",,"Lpasivo","Credito","Y","N","RETAINEDEARNING_ACCT",303,"S",,,
"P.C.C","PASIVO + CAPITAL",,"Lpasivo","Credito","N","Y",,"P","E","P.LP+P.CP+C.C",,
"PYG","INFORME DE PERDIDAS Y GANANCIAS",,"RIngresos","Debito","N","Y",,,"E",,,
401,"VENTAS",,"RIngresos","Credito","N","Y",,"PYG","C",,,
401001,"Ventas",,"RIngresos","Credito","Y","N","P_REVENUE_ACCT",401,"S",,,
410,"DEVOLUCION SOBRE VENTAS",,"RIngresos","Debito","N","Y",,"PYG","C",,,
410001,"Devolucion sobre Ventas",,"RIngresos","Debito","Y","N","P_REVENUE_RETURN_ACCT",410,"S",,,
"VN","VENTA NETA (401 - 410)",,"RIngresos","Credito","N","Y",,"PYG","C","401-410",,
501,"COSTO DE VENTA",,"EGastos","Debito","N","Y",,"PYG","C",,,
501001,"Costo de Venta",,"EGastos","Debito","Y","N","P_COGS_ACCT",501,"S",,,
505,"DEVOLUCION SOBRE COMPRA",,"EGastos","Credito","N","Y",,"PYG","C",,,
505001,"Devolucion sobre Compra",,"EGastos","Credito","Y","N","P_COGS_RETURN_ACCT",505,"S",,,
"CN","COSTO NETO (501 - 505)",,"EGastos","Debito","N","Y",,"PYG","C","501-505",,
"UB","UTILIDAD BRUTA (VN - CN)",,"RIngresos","Credito","N","Y",,"PYG","C","VN-CN",,
510,"GASTOS DE COMPRAS",,"EGastos","Debito","N","Y",,"PYG","C",,,
510001,"Gastos de Compras",,"EGastos","Debito","Y","N","P_EXPENSE_ACCT",510,"S",,,
511,"GASTO DE DEPRECIACION",,"EGastos","Debito","N","Y",,"PYG","C",,,
511001,"Gasto de Depreciacion",,"EGastos","Debito","Y","N","A_DEPRECIATION_ACCT",511,"S",,,
512,"NO DEDUCIBLES",,"EGastos","Debito","N","Y",,"PYG","C",,,
512001,"No Deducibles",,"EGastos","Debito","Y","N","CB_EXPENSE_ACCT",512,"S",,,
513,"MERMAS",,"EGastos","Debito","N","Y",,"PYG","C",,,
513001,"Mermas",,"EGastos","Debito","Y","N","W_DIFFERENCES_ACCT",513,"S",,,
514,"DIFERENCIAS CAJA",,"EGastos","Debito","N","Y",,"PYG","C",,,
514001,"Diferencias Caja",,"EGastos","Debito","Y","N","CB_DIFFERENCES_ACCT",514,"S",,,
515,"OTROS GASTOS",,"Memo","Debito","N","Y",,"PYG","E",,,
515001,"Default",,"Memo","Debito","Y","N","DEFAULT_ACCT",515,"S",,,
515002,"Cuentas de Cuadre",,"Memo","Debito","Y","N","SUSPENSEBALANCING_ACCT",515,"S",,,
515003,"Cuenta de Errores",,"Memo","Debito","Y","N","SUSPENSEERROR_ACCT",515,"S",,,
515004,"Deposito en Efectivo",,"Memo","Debito","Y","N","CB_RECEIPT_ACCT",515,"S",,,
"GO","GASTOS DE OPERACION (510 + 511 + 512 + 513 + 514 + 515)",,"EGastos","Debito","N","Y",,"PYG","C","510+511+512+513+514+515",,
"UO","UTILIDAD OPERATIVA (UB - GO)",,"RIngresos","Credito","N","Y",,"PYG","C","UB-GO",,
550,"GASTOS FINANCIEROS",,"EGastos","Debito","N","Y",,"PYG","C",,,
550001,"Gastos Financieros",,"EGastos","Debito","Y","N","B_EXPENSE_ACCT",550,"S",,,
551,"PERDIDA CAMBIARIA",,"EGastos","Debito","N","Y",,"PYG","C",,,
551001,"Perdida Cambiaria",,"EGastos","Debito","Y","N","B_REVALUATIONLOSS_ACCT",551,"S",,,
552,"GANANCIA CAMBIARIA",,"EGastos","Credito","N","Y",,"PYG","C",,,
552001,"Ganancia Cambiaria",,"RIngresos","Credito","Y","N","B_REVALUATIONGAIN_ACCT",552,"S",,,
553,"BALANCE MONETARIO",,"EGastos","Debito","N","Y",,"PYG","C",,,
553001,"Balance Monetario",,"EGastos","Debito","Y","N","CURRENCYBALANCING_ACCT",553,"S",,,
"GYPF","GASTOS Y PROD FINANCIEROS (552 - 550 - 551 - 553)",,"EGastos","Debito","N","Y",,"PYG","C","552-550-551-553",,
"UAI","UTILIDAD ANTES DE IMPUESTOS (UO + GYPF)",,"RIngresos","Credito","N","Y",,"PYG","E","UO+GYPF",,
600,"IMPUESTOS",,"Memo","Debito","N","Y",,"PYG","C",,,
600001,"Impuestos",,"Memo","Debito","Y","N","CH_EXPENSE_ACCT",600,"S",,,
"UN","UTILIDAD NETA (UAI - 600)",,"RIngresos","Credito","N","Y",,"PYG","E","UAI-600",,
